S.No.,ACCESSION NO.,ORGANISM NAME,VRL,SPECIES,LENGTH,GEO LOCATION,HOST,COLLECTION DATE
1,YP_010839200RefSeq,Orthohantavirus puumalaense,06-05-2023,Orthohantavirus puumalaense,433,,,
2,YP_010839201RefSeq,Orthohantavirus sinnombreense,06-05-2023,Orthohantavirus sinnombreense,428,,Peromyscus maniculatus,
3,YP_010088055RefSeq,Orthohantavirus robinaense,01-06-2021,Orthohantavirus robinaense,429,Australia,Pteropus alecto,03-07-2017
4,YP_010088057RefSeq,Orthohantavirus tatenalense,01-06-2021,Orthohantavirus tatenalense,433,United Kingdom,Microtus agrestis,2014
5,YP_009664722RefSeq,Orthohantavirus asikkalaense,28-06-2019,Orthohantavirus asikkalaense,429,Czech Republic,Sorex minutus,2010
6,YP_009665159RefSeq,Oxbow virus,28-06-2019,Orthohantavirus oxbowense,428,USA,Neurotrichus gibbsii,11-09-2003
7,YP_009666011RefSeq,Necocli virus,28-06-2019,Orthohantavirus necocliense,428,Colombia: Antioquia,Zygodontomys brevicauda,07-02-2011
8,YP_009666522RefSeq,Seewis virus,28-06-2019,Seewis orhtohantavirus,429,Finland,Sorex araneus,
9,YP_009505459RefSeq,Asama virus,24-08-2018,Orthohantavirus asamaense,433,Japan,Urotrichus talpoides,
10,YP_009505595RefSeq,Orthohantavirus bayoui,24-08-2018,Orthohantavirus bayoui,428,,Homo sapiens,
11,YP_009506069RefSeq,Choclo virus,24-08-2018,Orthohantavirus chocloense,428,Panama,Oligoryzomys fulvescens,
12,YP_009506272RefSeq,Dabieshan virus,24-08-2018,Orthohantavirus dabieshanense,429,China,Niviventer confucianus,2008
13,YP_009506354RefSeq,Orthohantavirus moroense,24-08-2018,Orthohantavirus moroense,428,,Reithrodontomys megalotis,
14,YP_009506411RefSeq,Hantavirus Fusong-Mf-682,24-08-2018,Orthohantavirus fusongense,433,"China: Jilin Province, Fusong",Microtus fortis,
15,YP_009506656RefSeq,Orthohantavirus negraense,24-08-2018,Orthohantavirus negraense,428,,Calomys laucha,
16,YP_009507828RefSeq,Rockport virus,24-08-2018,Orthohantavirus rockportense,428,USA,Scalopus aquaticus,1986-10
17,YP_009507844RefSeq,Yakeshi virus,24-08-2018,Orthohantavirus yakeshiense,429,China,,2006
18,YP_009362102RefSeq,Orthohantavirus khabarovskense,15-05-2017,Orthohantavirus khabarovskense,433,China,Microtus maximowiczii,2011
19,YP_009362103RefSeq,Orthohantavirus delgaditoense,15-05-2017,Orthohantavirus delgaditoense,428,Venezuela,Sigmodon alstoni,
20,YP_009362283RefSeq,Anjozorobe virus,15-05-2017,Orthohantavirus thailandense,429,Madagascar: Anjozorobe district,Eliurus majori,03-10-2008
21,YP_009362287RefSeq,Kenkeme virus,15-05-2017,Orthohantavirus kenkemeense,429,China,Sorex roboratus,2011
22,YP_009362292RefSeq,Maporal virus,15-05-2017,Orthohantavirus maporalense,428,Venezuela,Oligoryzomys fulvescens,
23,YP_009362056RefSeq,Orthohantavirus caobangense,05-05-2017,Orthohantavirus caobangense,428,Viet Nam,Anourosorex squamipes,
24,YP_009361840RefSeq,Bruges virus,01-05-2017,Orthohantavirus brugesense,430,Belgium,Talpa europaea,09-12-2013
25,YP_009361842RefSeq,Orthohantavirus montanoense,01-05-2017,Orthohantavirus montanoense,428,Mexico: Guerrero,Peromyscus beatae,12-05-2006
26,YP_009361844RefSeq,Jeju virus,01-05-2017,Orthohantavirus jejuense,428,South Korea,Crocidura shantungensis,29-04-2010
27,YP_009361851RefSeq,Bowe virus,01-05-2017,Orthohantavirus boweense,431,Guinea,Crocidura douceti,20-02-2012
28,YP_004928153RefSeq,Orthohantavirus tulaense,04-11-2011,Orthohantavirus tulaense,429,,,
29,YP_138528RefSeq,Hantavirus Z10,13-11-2004,Hantavirus Z10,429,,,
30,NP_942553RefSeq,Orthohantavirus dobravaense,25-11-2003,Orthohantavirus dobravaense,429,Greece:Ano-Poroia,Apodemus flavicollis,
31,NP_942556RefSeq,Orthohantavirus seoulense,25-11-2003,Orthohantavirus seoulense,429,South Korea,Rattus norvegicus,
32,NP_941975RefSeq,Orthohantavirus sinnombreense,18-11-2003,Orthohantavirus sinnombreense,428,,,
33,NP_941984RefSeq,Orthohantavirus puumalaense,18-11-2003,Orthohantavirus puumalaense,433,,,
34,NP_604471RefSeq,Orthohantavirus andesense,10-10-2000,Orthohantavirus andesense,428,,,
35,XBC17277,Orthohantavirus hantanense,29-05-2024,Orthohantavirus hantanense,429,South Korea: Gwangju-si,Apodemus agrarius,2017-09
36,XBC17278,Orthohantavirus hantanense,29-05-2024,Orthohantavirus hantanense,429,South Korea: Boseong-gun,Apodemus agrarius,2019-06
